"State"|"ST_CEN_CD"|"District"|"DT_CEN_CD"|"TRU"|"Households"|"Latrines"|"latrinepercent"
"Assam"|18|"Golaghat "|313|"Total"|224853|153723|68%
"Assam"|18|"Golaghat "|313|"Rural"|202469|131864|65%
"Assam"|18|"Golaghat "|313|"Urban"|22384|21859|98%
"Assam"|18|"Karbi Anglong"|314|"Total"|176991|96932|55%
"Assam"|18|"Karbi Anglong"|314|"Rural"|152873|74151|49%
"Assam"|18|"Karbi Anglong"|314|"Urban"|24118|22781|94%
"Assam"|18|"Dima Hasao"|315|"Total"|42888|29780|69%
"Assam"|18|"Dima Hasao"|315|"Rural"|29499|16843|57%
"Assam"|18|"Dima Hasao"|315|"Urban"|13389|12937|97%
"Assam"|18|"Cachar"|316|"Total"|368043|298041|81%
"Assam"|18|"Cachar"|316|"Rural"|299194|232066|78%
"Assam"|18|"Cachar"|316|"Urban"|68849|65975|96%
"Assam"|18|"Karimganj "|317|"Total"|247247|210524|85%
"Assam"|18|"Karimganj "|317|"Rural"|223720|187335|84%
"Assam"|18|"Karimganj "|317|"Urban"|23527|22919|97%
"Assam"|18|"Hailakandi"|318|"Total"|143567|119292|83%
"Assam"|18|"Hailakandi"|318|"Rural"|133055|108979|82%
"Assam"|18|"Hailakandi"|318|"Urban"|10512|10313|98%
"Assam"|18|"Bongaigaon"|319|"Total"|150287|84687|56%
"Assam"|18|"Bongaigaon"|319|"Rural"|124874|61405|49%
"Assam"|18|"Bongaigaon"|319|"Urban"|25413|23282|92%
"Assam"|18|"Chirang"|320|"Total"|97259|27951|29%
"Assam"|18|"Chirang"|320|"Rural"|89657|21494|24%
"Assam"|18|"Chirang"|320|"Urban"|7602|6457|85%
"Assam"|18|"Kamrup"|321|"Total"|305342|180800|59%
"Assam"|18|"Kamrup"|321|"Rural"|274590|156599|57%
"Assam"|18|"Kamrup"|321|"Urban"|30752|24201|79%
"Assam"|18|"Kamrup Metropolitan"|322|"Total"|290388|268146|92%
"Assam"|18|"Kamrup Metropolitan"|322|"Rural"|42247|27345|65%
"Assam"|18|"Kamrup Metropolitan"|322|"Urban"|248141|240801|97%
"Assam"|18|"Nalbari"|323|"Total"|155352|103600|67%
"Assam"|18|"Nalbari"|323|"Rural"|137639|87643|64%
"Assam"|18|"Nalbari"|323|"Urban"|17713|15957|90%
"Assam"|18|"Baksa"|324|"Total"|190667|75132|39%
"Assam"|18|"Baksa"|324|"Rural"|188191|72803|39%
"Assam"|18|"Baksa"|324|"Urban"|2476|2329|94%
"Assam"|18|"Darrang"|325|"Total"|188052|95080|51%
"Assam"|18|"Darrang"|325|"Rural"|175393|83453|48%
"Assam"|18|"Darrang"|325|"Urban"|12659|11627|92%
"Assam"|18|"Udalguri"|326|"Total"|168047|73729|44%
"Assam"|18|"Udalguri"|326|"Rural"|159630|66168|41%
"Assam"|18|"Udalguri"|326|"Urban"|8417|7561|90%
"Bihar"|10|"Pashchim Champaran"|203|"Total"|708065|112382|16%
"Bihar"|10|"Pashchim Champaran"|203|"Rural"|635151|73088|12%
"Bihar"|10|"Pashchim Champaran"|203|"Urban"|72914|39294|54%
"Bihar"|10|"Purba Champaran"|204|"Total"|984303|179522|18%
"Bihar"|10|"Purba Champaran"|204|"Rural"|913167|141111|15%
"Bihar"|10|"Purba Champaran"|204|"Urban"|71136|38411|54%
"Bihar"|10|"Sheohar"|205|"Total"|148889|30398|20%
"Bihar"|10|"Sheohar"|205|"Rural"|143121|28267|20%
"Bihar"|10|"Sheohar"|205|"Urban"|5768|2131|37%
"Bihar"|10|"Sitamarhi"|206|"Total"|733083|152392|21%
"Bihar"|10|"Sitamarhi"|206|"Rural"|696184|130062|19%
"Bihar"|10|"Sitamarhi"|206|"Urban"|36899|22330|61%
"Bihar"|10|"Madhubani"|207|"Total"|901539|166993|19%
"Bihar"|10|"Madhubani"|207|"Rural"|871575|150357|17%
"Bihar"|10|"Madhubani"|207|"Urban"|29964|16636|56%
"Bihar"|10|"Supaul"|208|"Total"|440804|47753|11%
"Bihar"|10|"Supaul"|208|"Rural"|420420|38213|9%
"Bihar"|10|"Supaul"|208|"Urban"|20384|9540|47%
"Bihar"|10|"Araria"|209|"Total"|561455|52549|9%
"Bihar"|10|"Araria"|209|"Rural"|529611|35259|7%
"Bihar"|10|"Araria"|209|"Urban"|31844|17290|54%
"Bihar"|10|"Kishanganj"|210|"Total"|335711|34858|10%
"Bihar"|10|"Kishanganj"|210|"Rural"|304695|18752|6%
"Bihar"|10|"Kishanganj"|210|"Urban"|31016|16106|52%
"Bihar"|10|"Purnia"|211|"Total"|640713|87774|14%
"Bihar"|10|"Purnia"|211|"Rural"|576602|49871|9%
"Bihar"|10|"Purnia"|211|"Urban"|64111|37903|59%
"Bihar"|10|"Katihar"|212|"Total"|617063|108018|18%
"Bihar"|10|"Katihar"|212|"Rural"|563679|71443|13%
"Bihar"|10|"Katihar"|212|"Urban"|53384|36575|69%
"Bihar"|10|"Madhepura"|213|"Total"|401001|52388|13%
"Bihar"|10|"Madhepura"|213|"Rural"|383792|43560|11%
"Bihar"|10|"Madhepura"|213|"Urban"|17209|8828|51%
"Bihar"|10|"Saharsa"|214|"Total"|368212|61597|17%
"Bihar"|10|"Saharsa"|214|"Rural"|339776|42377|12%
"Bihar"|10|"Saharsa"|214|"Urban"|28436|19220|68%
"Bihar"|10|"Darbhanga"|215|"Total"|805786|202524|25%
"Bihar"|10|"Darbhanga"|215|"Rural"|732270|153287|21%
"Bihar"|10|"Darbhanga"|215|"Urban"|73516|49237|67%
"Bihar"|10|"Muzaffarpur "|216|"Total"|947863|256532|27%
"Bihar"|10|"Muzaffarpur "|216|"Rural"|859579|188473|22%
"Bihar"|10|"Muzaffarpur "|216|"Urban"|88284|68059|77%
"Bihar"|10|"Gopalganj "|217|"Total"|421727|84425|20%
"Bihar"|10|"Gopalganj "|217|"Rural"|396391|71559|18%
"Bihar"|10|"Gopalganj "|217|"Urban"|25336|12866|51%
"Bihar"|10|"Siwan "|218|"Total"|544879|124672|23%
"Bihar"|10|"Siwan "|218|"Rural"|516701|104557|20%
"Bihar"|10|"Siwan "|218|"Urban"|28178|20115|71%
"Bihar"|10|"Saran "|219|"Total"|641742|137526|21%
"Bihar"|10|"Saran "|219|"Rural"|585844|104571|18%
"Bihar"|10|"Saran "|219|"Urban"|55848|32955|59%
"Bihar"|10|"Vaishali"|220|"Total"|632626|171904|27%
"Bihar"|10|"Vaishali"|220|"Rural"|595165|148682|25%
"Bihar"|10|"Vaishali"|220|"Urban"|37461|23222|62%
"Bihar"|10|"Samastipur "|221|"Total"|850353|159459|19%
"Bihar"|10|"Samastipur "|221|"Rural"|822111|139638|17%
"Bihar"|10|"Samastipur "|221|"Urban"|28242|19821|70%
"Bihar"|10|"Begusarai "|222|"Total"|596110|186662|31%
"Bihar"|10|"Begusarai "|222|"Rural"|488062|124302|25%
"Bihar"|10|"Begusarai "|222|"Urban"|108048|62360|58%
"Bihar"|10|"Khagaria "|223|"Total"|327701|78061|24%
"Bihar"|10|"Khagaria "|223|"Rural"|312199|67785|22%
"Bihar"|10|"Khagaria "|223|"Urban"|15502|10276|66%
"Bihar"|10|"Bhagalpur "|224|"Total"|563306|189954|34%
"Bihar"|10|"Bhagalpur "|224|"Rural"|458960|115122|25%
"Bihar"|10|"Bhagalpur "|224|"Urban"|104346|74832|72%
"Bihar"|10|"Banka "|225|"Total"|380013|46555|12%
"Bihar"|10|"Banka "|225|"Rural"|366656|40569|11%
"Bihar"|10|"Banka "|225|"Urban"|13357|5986|45%
"Bihar"|10|"Munger"|226|"Total"|263749|102385|39%
"Bihar"|10|"Munger"|226|"Rural"|193801|50489|26%
"Bihar"|10|"Munger"|226|"Urban"|69948|51896|74%
"Bihar"|10|"Lakhisarai"|227|"Total"|164430|52316|32%
"Bihar"|10|"Lakhisarai"|227|"Rural"|140728|37717|27%
"Bihar"|10|"Lakhisarai"|227|"Urban"|23702|14599|62%
"Bihar"|10|"Sheikhpura"|228|"Total"|103748|30019|29%
"Bihar"|10|"Sheikhpura"|228|"Rural"|86465|21004|24%
"Bihar"|10|"Sheikhpura"|228|"Urban"|17283|9015|52%
"Bihar"|10|"Nalanda"|229|"Total"|487322|149675|31%
"Bihar"|10|"Nalanda"|229|"Rural"|411602|93939|23%
"Bihar"|10|"Nalanda"|229|"Urban"|75720|55736|74%
"Bihar"|10|"Patna"|230|"Total"|957441|507581|53%
"Bihar"|10|"Patna"|230|"Rural"|544392|150106|28%
"Bihar"|10|"Patna"|230|"Urban"|413049|357475|87%
"Bihar"|10|"Bhojpur"|231|"Total"|415555|112983|27%
"Bihar"|10|"Bhojpur"|231|"Rural"|357782|73342|20%
"Bihar"|10|"Bhojpur"|231|"Urban"|57773|39641|69%
"Bihar"|10|"Buxar"|232|"Total"|262398|64826|25%
"Bihar"|10|"Buxar"|232|"Rural"|236453|47387|20%
"Bihar"|10|"Buxar"|232|"Urban"|25495|17439|68%
"Bihar"|10|"Kaimur (Bhabua)"|233|"Total"|245048|40996|17%
"Bihar"|10|"Kaimur (Bhabua)"|233|"Rural"|235155|34049|14%
"Bihar"|10|"Kaimur (Bhabua)"|233|"Urban"|9893|6947|70%
"Bihar"|10|"Rohtas"|234|"Total"|455878|128652|28%
"Bihar"|10|"Rohtas"|234|"Rural"|387316|81750|21%
"Bihar"|10|"Rohtas"|234|"Urban"|68562|46902|68%
"Bihar"|10|"Aurangabad"|235|"Total"|387122|84329|22%
"Bihar"|10|"Aurangabad"|235|"Rural"|351828|60345|17%
"Bihar"|10|"Aurangabad"|235|"Urban"|35294|23984|68%
"Bihar"|10|"Gaya"|236|"Total"|690505|167232|24%
"Bihar"|10|"Gaya"|236|"Rural"|603194|99305|16%
"Bihar"|10|"Gaya"|236|"Urban"|87311|67927|78%
"Bihar"|10|"Nawada"|237|"Total"|346749|77297|22%
"Bihar"|10|"Nawada"|237|"Rural"|313669|54368|17%
"Bihar"|10|"Nawada"|237|"Urban"|33080|22929|69%
"Bihar"|10|"Jamui"|238|"Total"|308291|45733|15%
"Bihar"|10|"Jamui"|238|"Rural"|283684|33712|12%
"Bihar"|10|"Jamui"|238|"Urban"|24607|12021|49%
"Bihar"|10|"Jehanabad"|239|"Total"|181646|50439|28%
"Bihar"|10|"Jehanabad"|239|"Rural"|159632|35536|22%
"Bihar"|10|"Jehanabad"|239|"Urban"|22014|14903|68%
"Bihar"|10|"Arwal"|240|"Total"|117803|27875|24%
"Bihar"|10|"Arwal"|240|"Rural"|109546|24653|23%
"Bihar"|10|"Arwal"|240|"Urban"|8257|3222|39%
"Chandigarh"|4|"Chandigarh"|55|"Total"|235061|206017|88%
"Chandigarh"|4|"Chandigarh"|55|"Rural"|6785|5970|88%
"Chandigarh"|4|"Chandigarh"|55|"Urban"|228276|200047|88%
"Chattisgarh"|22|"Koriya "|400|"Total"|152075|35636|23%
"Chattisgarh"|22|"Koriya "|400|"Rural"|107424|9179|9%
"Chattisgarh"|22|"Koriya "|400|"Urban"|44651|26457|59%
"Chattisgarh"|22|"Surguja "|401|"Total"|520566|130736|25%
"Chattisgarh"|22|"Surguja "|401|"Rural"|472991|101581|21%
"Chattisgarh"|22|"Surguja "|401|"Urban"|47575|29155|61%
"Chattisgarh"|22|"Jashpur "|402|"Total"|190527|27142|14%
"Chattisgarh"|22|"Jashpur "|402|"Rural"|175008|20600|12%
"Chattisgarh"|22|"Jashpur "|402|"Urban"|15519|6542|42%
"Chattisgarh"|22|"Raigarh "|403|"Total"|361664|69909|19%
"Chattisgarh"|22|"Raigarh "|403|"Rural"|309691|40112|13%
"Chattisgarh"|22|"Raigarh "|403|"Urban"|51973|29797|57%
"Chattisgarh"|22|"Korba "|404|"Total"|277071|77854|28%
"Chattisgarh"|22|"Korba "|404|"Rural"|180798|21460|12%
"Chattisgarh"|22|"Korba "|404|"Urban"|96273|56394|59%
"Chattisgarh"|22|"Janjgir - Champa"|405|"Total"|377496|57417|15%
"Chattisgarh"|22|"Janjgir - Champa"|405|"Rural"|330103|36385|11%
"Chattisgarh"|22|"Janjgir - Champa"|405|"Urban"|47393|21032|44%
"Chattisgarh"|22|"Bilaspur"|406|"Total"|615895|171271|28%
"Chattisgarh"|22|"Bilaspur"|406|"Rural"|475742|79176|17%
"Chattisgarh"|22|"Bilaspur"|406|"Urban"|140153|92095|66%
"Chattisgarh"|22|"Kabeerdham"|407|"Total"|176758|23347|13%
"Chattisgarh"|22|"Kabeerdham"|407|"Rural"|158483|14300|9%
"Chattisgarh"|22|"Kabeerdham"|407|"Urban"|18275|9047|50%
"Chattisgarh"|22|"Rajnandgaon"|408|"Total"|315535|78798|25%
"Chattisgarh"|22|"Rajnandgaon"|408|"Rural"|256900|47612|19%
"Chattisgarh"|22|"Rajnandgaon"|408|"Urban"|58635|31186|53%
"Chattisgarh"|22|"Durg"|409|"Total"|693001|228551|33%
"Chattisgarh"|22|"Durg"|409|"Rural"|422563|59341|14%
"Chattisgarh"|22|"Durg"|409|"Urban"|270438|169210|63%
"Chattisgarh"|22|"Raipur"|410|"Total"|861067|267090|31%
"Chattisgarh"|22|"Raipur"|410|"Rural"|561916|72634|13%
"Chattisgarh"|22|"Raipur"|410|"Urban"|299151|194456|65%
"Chattisgarh"|22|"Mahasamund"|411|"Total"|256504|48510|19%
"Chattisgarh"|22|"Mahasamund"|411|"Rural"|230027|34892|15%
"Chattisgarh"|22|"Mahasamund"|411|"Urban"|26477|13258|50%
"Chattisgarh"|22|"Dhamtari"|412|"Total"|168278|50033|30%
"Chattisgarh"|22|"Dhamtari"|412|"Rural"|136570|33041|24%
"Chattisgarh"|22|"Dhamtari"|412|"Urban"|31708|16992|54%
"Chattisgarh"|22|"Uttar Bastar Kanker"|413|"Total"|158184|31240|20%
"Chattisgarh"|22|"Uttar Bastar Kanker"|413|"Rural"|141247|20931|15%
"Chattisgarh"|22|"Uttar Bastar Kanker"|413|"Urban"|16937|10309|61%
"Chattisgarh"|22|"Bastar"|414|"Total"|306807|62326|20%
"Chattisgarh"|22|"Bastar"|414|"Rural"|265210|36956|14%
"Chattisgarh"|22|"Bastar"|414|"Urban"|41597|25370|61%
"Chattisgarh"|22|"Narayanpur"|415|"Total"|26953|2892|11%
"Chattisgarh"|22|"Narayanpur"|415|"Rural"|22516|929|4%
"Chattisgarh"|22|"Narayanpur"|415|"Urban"|4437|1963|44%
"Chattisgarh"|22|"Dakshin Bastar Dantewada"|416|"Total"|114067|17471|15%
"Chattisgarh"|22|"Dakshin Bastar Dantewada"|416|"Rural"|92379|6665|7%
"Chattisgarh"|22|"Dakshin Bastar Dantewada"|416|"Urban"|21688|10806|50%
"Chattisgarh"|22|"Bijapur"|417|"Total"|50402|2843|6%
"Chattisgarh"|22|"Bijapur"|417|"Rural"|44544|1197|3%
"Chattisgarh"|22|"Bijapur"|417|"Urban"|5858|1646|28%
"DADRA & NAGAR HAVELI "|26|"DADRA & NAGAR HAVELI "|496|"Total"|73063|39999|55%
