"Country","Year","piped_on_premises","total_improved"
"Poland","2012","98.0",""
"Portugal","2012","99.8","100.0"
"Puerto Rico","2012","","99.3"
"Qatar","2012","","100.0"
"Republic of Korea","2012","93.4","100.0"
"Republic of Moldova","2012","55.1","86.7"
"Réunion","2012","99.1","98.2"
"Romania","2012","61.7",""
"Russian Federation","2012","82.1","70.5"
"Rwanda","2012","4.5","63.8"
"Saint Kitts and Nevis","2012","",""
"Saint Lucia","2012","82.2",""
"Saint Vincent and the Grenadines","2012","",""
"Samoa","2012","85.4","91.6"
"San Marino","2012","",""
"Sao Tome and Principe","2012","32.8","34.4"
"Saudi Arabia","2012","","100.0"
"Senegal","2012","45.9","51.9"
"Serbia","2012","86.0","97.3"
"Seychelles","2012","92.5","97.1"
"Sierra Leone","2012","5.2","13.0"
"Singapore","2012","100.0","100.0"
"Slovakia","2012","","99.7"
"Slovenia","2012","99.6","100.0"
"Solomon Islands","2012","25.5","28.8"
"Somalia","2012","",""
"South Africa","2012","79.2","74.4"
"South Sudan","2012","","8.9"
"Spain","2012","99.3","100.0"
"Sri Lanka","2012","29.5","92.3"
"Sudan","2012","24.2","23.6"
"Suriname","2012","67.1","80.3"
"Swaziland","2012","37.2","57.5"
"Sweden","2012","100.0","100.0"
"Switzerland","2012","99.7","100.0"
"Syrian Arab Republic","2012","86.7","95.7"
"Tajikistan","2012","43.1","94.4"
"TFYR Macedonia","2012","89.5","91.4"
"Thailand","2012","47.7","93.4"
"Timor-Leste","2012","23.6","38.9"
"Togo","2012","5.1","11.3"
"Tokelau","2012","","92.9"
"Tonga","2012","","91.3"
"Trinidad and Tobago","2012","","92.1"
"Tunisia","2012","","90.4"
"Turkey","2012","98.5","91.2"
"Turkmenistan","2012","45.3","99.1"
"Turks and Caicos Islands","2012","",""
"Tuvalu","2012","96.8","83.3"
"Uganda","2012","4.8","33.9"
"Ukraine","2012","66.4","94.3"
"United Arab Emirates","2012","","97.5"
"United Kingdom","2012","99.6","100.0"
"United Republic of Tanzania","2012","9.3","12.2"
"United States of America","2012","98.6","100.0"
"United States Virgin Islands","2012","48.9","96.4"
"Uruguay","2012","99.5","96.4"
"Uzbekistan","2012","47.4","100.0"
"Vanuatu","2012","25.3","57.9"
"Venezuela (Bolivarian Republic of)","2012","",""
"Viet Nam","2012","25.7","75.0"
"West Bank and Gaza","2012","73.7","94.3"
"Western Sahara","2012","",""
"Yemen","2012","40.4","53.3"
"Zambia","2012","15.2","42.8"
"Zimbabwe","2012","34.1","39.9"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
